[2026-05-07T20:39:33.016Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPx_cwgknk-6nFg.woff2 → 200 (?ms, ?B)
[2026-05-07T20:39:33.016Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-05-07T20:39:33.018Z] GET https://fonts.gstatic.com/s/sourceserifpro/v18/neIWzD-0qpwxpaWvjeD0X88SAOeauXEOoguP648mfg.woff2 → 200 (?ms, ?B)
[2026-05-07T20:39:33.018Z] GET https://fonts.gstatic.com/s/sourceserifpro/v18/neIXzD-0qpwxpaWvjeD0X88SAOeasasatSyqxKcsdrM.woff2 → 200 (?ms, ?B)
[2026-05-07T20:39:33.053Z] GET http://localhost:8765/data/grid.json → 200 (24ms, 2041112B)
[2026-05-07T20:41:35.806Z] GET http://localhost:8765/ → 200 (1ms, 21829B)
[2026-05-07T20:41:35.811Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Source+Serif+Pro:ital,wght@0,400;0,600;1,400&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 24669B)
[2026-05-07T20:41:35.812Z] GET http://localhost:8765/css/site.css → 200 (1ms, 11278B)
[2026-05-07T20:41:35.812Z] GET http://localhost:8765/css/widget.css → 200 (?ms, 6064B)
[2026-05-07T20:41:35.812Z] GET https://cdn.jsdelivr.net/npm/mathjax@3/es5/tex-svg.js → 200 (?ms, 2108580B)
[2026-05-07T20:41:35.812Z] GET http://localhost:8765/assets/fig_intro_e2e_nanogpt.png → 200 (?ms, 93110B)
[2026-05-07T20:41:35.812Z] GET http://localhost:8765/assets/fig_intro_e2e_llama350m.png → 200 (?ms, 95762B)
[2026-05-07T20:41:35.812Z] GET http://localhost:8765/assets/fig_filtering_frozen_spectrum.png → 200 (1ms, 172098B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/assets/fig_filtering_frozen_ratio.png → 200 (?ms, 177595B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/assets/fig_direction_frozen.png → 200 (?ms, 260382B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/assets/fig_online_direction.png → 200 (?ms, 312804B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/assets/fig_ordering_frozen_beta.png → 304 (?ms, ?B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/assets/fig_ordering_frozen_checkpoints_full.png → 304 (10ms, ?B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/assets/fig_online_ordering_beta.png → 304 (10ms, ?B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/assets/fig_online_ordering_history.png → 304 (10ms, ?B)
[2026-05-07T20:41:35.813Z] GET http://localhost:8765/js/widget.js → 304 (?ms, ?B)
[2026-05-07T20:41:35.822Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1pL7W0Q5n-wU.woff2 → 200 (?ms, ?B)
